VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
1,2022-01-01T17:42:09.000000,2022-01-01T17:47:05.000000,1.0,2.0,1.0,N,140,229,1,8.0,2.5,0.5,1.13,0.0,0.3,12.43,2.5,0.0
1,2022-01-01T17:44:02.000000,2022-01-01T17:48:47.000000,1.0,1.0,1.0,N,79,148,1,5.5,2.5,0.5,1.75,0.0,0.3,10.55,2.5,0.0
2,2022-01-01T17:44:13.000000,2022-01-01T18:27:01.000000,1.0,17.91,1.0,N,161,1,1,53.0,0.0,0.0,10.0,36.0,0.3,100.55,0.0,1.25
2,2022-01-01T17:47:56.000000,2022-01-01T18:05:34.000000,1.0,6.01,1.0,N,50,42,1,19.5,0.0,0.5,5.7,0.0,0.3,28.5,2.5,0.0
2,2022-01-01T18:12:19.000000,2022-01-01T18:38:28.000000,1.0,5.06,1.0,N,141,113,1,20.0,0.0,0.5,20.0,0.0,0.3,43.3,2.5,0.0
1,2022-01-01T18:25:53.000000,2022-01-01T18:34:53.000000,3.0,1.8,1.0,N,164,79,1,8.5,2.5,0.5,2.35,0.0,0.3,14.15,2.5,0.0
1,2022-01-01T18:37:29.000000,2022-01-01T18:50:29.000000,2.0,1.1,1.0,N,170,163,1,9.5,2.5,0.5,1.92,0.0,0.3,14.72,2.5,0.0
2,2022-01-01T19:37:22.000000,2022-01-01T19:37:29.000000,1.0,0.01,1.0,N,10,10,2,2.5,0.0,0.5,0.0,0.0,0.3,3.3,0.0,0.0
1,2022-01-01T20:00:26.000000,2022-01-01T20:05:49.000000,1.0,1.1,1.0,N,263,140,1,6.0,3.0,0.5,1.96,0.0,0.3,11.76,2.5,0.0
2,2022-01-01T20:20:27.000000,2022-01-01T20:23:54.000000,2.0,0.76,1.0,N,262,237,2,4.5,0.5,0.5,0.0,0.0,0.3,8.3,2.5,0.0
2,2022-01-01T20:58:56.000000,2022-01-01T21:05:23.000000,1.0,1.11,1.0,N,236,141,1,6.5,0.5,0.5,2.06,0.0,0.3,12.36,2.5,0.0
1,2022-01-01T21:21:38.000000,2022-01-01T21:24:21.000000,2.0,0.4,1.0,N,170,164,1,4.0,3.0,0.5,1.55,0.0,0.3,9.35,2.5,0.0
1,2022-01-01T21:36:05.000000,2022-01-01T21:44:09.000000,2.0,0.8,1.0,N,164,170,1,7.0,3.0,0.5,2.15,0.0,0.3,12.95,2.5,0.0
2,2022-01-01T21:51:23.000000,2022-01-01T21:59:22.000000,1.0,1.41,1.0,N,48,162,1,7.5,0.5,0.5,2.82,0.0,0.3,14.12,2.5,0.0
2,2022-01-01T22:18:41.000000,2022-01-01T22:39:40.000000,1.0,6.86,1.0,N,79,238,1,22.5,0.5,0.5,7.89,0.0,0.3,34.19,2.5,0.0
2,2022-01-01T22:19:54.000000,2022-01-01T22:25:53.000000,1.0,1.18,1.0,N,249,231,2,6.5,0.5,0.5,0.0,0.0,0.3,10.3,2.5,0.0
2,2022-01-01T22:21:22.000000,2022-01-01T22:29:58.000000,1.0,1.68,1.0,N,229,50,2,8.0,0.5,0.5,0.0,0.0,0.3,11.8,2.5,0.0
2,2022-01-01T22:25:08.000000,2022-01-01T22:40:38.000000,1.0,3.49,1.0,N,163,211,2,13.5,0.5,0.5,0.0,0.0,0.3,17.3,2.5,0.0
1,2022-01-01T23:42:30.000000,2022-01-02T00:10:53.000000,2.0,6.7,1.0,Y,170,36,1,24.5,3.0,0.5,2.0,0.0,0.3,30.3,2.5,0.0
2,2022-01-01T23:59:02.000000,2022-01-02T00:24:05.000000,3.0,8.28,1.0,N,48,228,1,26.5,0.5,0.5,9.21,6.55,0.3,46.06,2.5,0.0
2,2022-01-02T00:22:00.000000,2022-01-02T00:31:57.000000,1.0,2.31,1.0,N,100,79,2,9.5,0.5,0.5,0.0,0.0,0.3,13.3,2.5,0.0
2,2022-01-02T00:24:18.000000,2022-01-02T00:32:44.000000,2.0,2.54,1.0,N,249,48,1,9.0,0.5,0.5,1.0,0.0,0.3,13.8,2.5,0.0
2,2022-01-02T00:48:12.000000,2022-01-02T00:57:40.000000,1.0,1.85,1.0,N,186,237,1,8.5,0.5,0.5,3.08,0.0,0.3,15.38,2.5,0.0
2,2022-01-02T00:55:30.000000,2022-01-02T01:06:51.000000,2.0,2.07,1.0,N,68,230,1,9.5,0.5,0.5,2.66,0.0,0.3,15.96,2.5,0.0
2,2022-01-02T02:02:10.000000,2022-01-02T02:32:02.000000,1.0,11.61,1.0,N,68,123,1,34.5,0.5,0.5,5.0,0.0,0.3,43.3,2.5,0.0
2,2022-01-02T03:05:56.000000,2022-01-02T03:16:31.000000,1.0,2.61,1.0,N,68,211,1,10.0,0.5,0.5,4.14,0.0,0.3,17.94,2.5,0.0
2,2022-01-02T03:37:35.000000,2022-01-02T03:42:58.000000,2.0,1.9,1.0,N,162,236,2,7.5,0.5,0.5,0.0,0.0,0.3,11.3,2.5,0.0
2,2022-01-02T04:50:09.000000,2022-01-02T05:13:03.000000,3.0,10.78,1.0,N,163,138,2,32.0,0.5,0.5,0.0,6.55,0.3,42.35,2.5,0.0
2,2022-01-02T06:56:40.000000,2022-01-02T07:19:16.000000,1.0,17.5,2.0,N,132,74,1,52.0,0.0,0.5,11.87,6.55,0.3,72.47,0.0,1.25
2,2022-01-02T09:04:59.000000,2022-01-02T09:36:44.000000,1.0,11.4,1.0,N,132,61,1,34.5,0.0,0.5,7.31,0.0,0.3,43.86,0.0,1.25
2,2022-01-02T09:17:31.000000,2022-01-02T09:45:20.000000,6.0,18.39,2.0,N,132,211,1,52.0,0.0,0.5,11.31,0.0,0.3,67.86,2.5,1.25
2,2022-01-02T11:14:00.000000,2022-01-02T11:27:13.000000,1.0,7.73,1.0,N,70,262,1,22.0,0.0,0.5,6.37,6.55,0.3,38.22,2.5,0.0
1,2022-01-02T11:48:13.000000,2022-01-02T12:02:10.000000,2.0,2.3,1.0,N,161,238,1,11.5,2.5,0.5,2.96,0.0,0.3,17.76,2.5,0.0
1,2022-01-02T12:00:06.000000,2022-01-02T12:27:23.000000,2.0,11.9,1.0,N,230,138,1,36.0,2.5,0.5,9.15,6.55,0.3,55.0,2.5,0.0
1,2022-01-02T12:32:03.000000,2022-01-02T13:13:09.000000,1.0,4.5,99.0,N,170,17,1,34.2,0.0,0.5,0.0,0.0,0.3,35.0,0.0,0.0
2,2022-01-02T12:50:11.000000,2022-01-02T13:01:12.000000,1.0,1.04,1.0,N,162,230,1,8.0,0.0,0.5,1.0,0.0,0.3,12.3,2.5,0.0
